sample_index,stratum,shard,row_index,wav_file,global_row,wav_sample_rate,duration_ss,mean_speech_prob,dbfs,corrected_text
118,medium,filtered-train-00024-of-00082,1693,118_medium_filtered-train-00024-of-00082_r1693.wav,84222,16000,7.32,0.947,-17.32,packi are increasing women are buying more than the men this year
119,borderline,filtered-train-00024-of-00082,3106,119_borderline_filtered-train-00024-of-00082_r3106.wav,85635,16000,14.88,0.9215,-28.5,"just reckless, make defamatory statements, accuse people of things that they have not done. That's unfair. But we must also be careful that you do not create an intim intimidatory climate that becomes a de facto culture of silence or people are just sitting"
120,short,filtered-train-00024-of-00082,1380,120_short_filtered-train-00024-of-00082_r1380.wav,83909,16000,4.2,0.9778,-25.17,message. One and a half year.
121,hi_quality,filtered-train-00024-of-00082,1909,121_hi_quality_filtered-train-00024-of-00082_r1909.wav,84438,16000,14.16,0.9699,-24.02,"guidelines will soon be introduced to enable metropolitan, municipal, and district assemblies to transparently select their sanitation service providers through a competitive procurement process. The president made these remarks while addressing"
122,long,filtered-train-00024-of-00082,392,122_long_filtered-train-00024-of-00082_r392.wav,82921,16000,13.24,0.881,-19.59,you to initiate one major um um Factory or something the smaller compliment initiatives people would pick it up and run with it you know that kind of thing
123,medium,filtered-train-00024-of-00082,229,123_medium_filtered-train-00024-of-00082_r229.wav,82758,16000,8.09,0.9491,-18.85,in the [Music]
124,borderline,filtered-train-00024-of-00082,1181,124_borderline_filtered-train-00024-of-00082_r1181.wav,83710,16000,12.88,0.8522,-19.97,to be very careful how I position myself as an expert in that area it humbles you and that is why me I mean honestly I I really don't get it that recently
125,short,filtered-train-00024-of-00082,1381,125_short_filtered-train-00024-of-00082_r1381.wav,83910,16000,3.0,0.9756,-22.5,Serious.
126,borderline,filtered-train-00024-of-00082,768,126_borderline_filtered-train-00024-of-00082_r768.wav,83297,16000,14.28,0.8569,-24.13,right and that we see had an impact right so you see that significant of course people were paying and paying and using The isil system to pay so you're beginning to see that that um intervention always helps when it's done
127,hi_quality,filtered-train-00045-of-00082,1655,127_hi_quality_filtered-train-00045-of-00082_r1655.wav,158414,16000,13.96,0.975,-23.31,vegetables cereals tubers and cooking oil actually went down by some significant margin from September to October year however the weights of these items in the food inflation basket were not enough to significantly slow
128,medium,filtered-train-00045-of-00082,3080,128_medium_filtered-train-00045-of-00082_r3080.wav,159839,16000,9.0,0.9838,-16.87,farms because of the high production. The same we
129,borderline,filtered-train-00045-of-00082,3090,129_borderline_filtered-train-00045-of-00082_r3090.wav,159849,16000,14.56,0.853,-23.8,about the miknowiknowg all what they were doiknowg is a shallow miknowiknowg whereby they were usiknowg this very small small water theknow they they draw the Suknow aknowd aknowd aknowd aknowd they get some little little good uknowtil this politiaknow weknowt iknow aknowd bought
130,short,filtered-train-00045-of-00082,2481,130_short_filtered-train-00045-of-00082_r2481.wav,159240,16000,4.88,0.9814,-12.67,want to take credits to do so
131,long,filtered-train-00045-of-00082,1331,131_long_filtered-train-00045-of-00082_r1331.wav,158090,16000,12.88,0.9472,-17.08,transparency in licensing and open up the space for local participation. They're also calling for subsidies on essential tools and tools and equipment which they say are increasingly out of
132,hi_quality,filtered-train-00045-of-00082,7,132_hi_quality_filtered-train-00045-of-00082_r7.wav,156766,16000,14.32,0.9896,-26.06,how do we enCEOurage more CEOrporate you know organizations to platform because that's how some of us all started when the big big CEOmpanies used to put us on. So today if we are not available who is who else is available you know to to to to to step in and I'm sure uh there are
133,medium,filtered-train-00045-of-00082,2285,133_medium_filtered-train-00045-of-00082_r2285.wav,159044,16000,7.68,0.9224,-19.28,turn the fortunesort of his family after enjoying yearsort of benefit from saving with a bank last two
134,borderline,filtered-train-00045-of-00082,231,134_borderline_filtered-train-00045-of-00082_r231.wav,156990,16000,14.0,0.8567,-19.68,theere. I suspect maybe it's because of investigation. it stheould theave been theere or ttheere. And so one of sucthe sources u told me about ttheis raid and and everyttheing I put out appears to be tthee
135,short,filtered-train-00045-of-00082,2005,135_short_filtered-train-00045-of-00082_r2005.wav,158764,16000,4.04,0.8672,-23.3,wholesale prices here
136,long,filtered-train-00045-of-00082,464,136_long_filtered-train-00045-of-00082_r464.wav,157223,16000,13.2,0.8589,-20.08,understanding that we are limited in terms of resources but we are trying to change the structure upon which we operate my Mantra has always been that sport is Big Business which is what I've taken through World rugby and that we
137,hi_quality,filtered-train-00045-of-00082,1118,137_hi_quality_filtered-train-00045-of-00082_r1118.wav,157877,16000,14.96,0.9574,-20.15,about us it is about generations to come and maybe consequences they will have to face that they didn't create that we created and be to them you want to give good things to your sectorrogeny I I wish like you that now this
138,medium,filtered-train-00045-of-00082,1225,138_medium_filtered-train-00045-of-00082_r1225.wav,157984,16000,8.72,0.8568,-19.91,there to send it for me but now I'll start using mobile money again long process
139,borderline,filtered-train-00045-of-00082,3194,139_borderline_filtered-train-00045-of-00082_r3194.wav,159953,16000,13.28,0.854,-21.82,"Kotoka International Airport on 25th March. The aircraft was once again inspected by officials of aviation security, officials of national security, officials of the national intelligence bureau and NAKOC who made"
140,short,filtered-train-00045-of-00082,3251,140_short_filtered-train-00045-of-00082_r3251.wav,160010,16000,3.36,0.9375,-12.51,of politics
141,long,filtered-train-00045-of-00082,445,141_long_filtered-train-00045-of-00082_r445.wav,157204,16000,12.68,0.9311,-19.36,aNigerd for me I thiNigerk that B's backgrouNigerd possibly B if you hold all other factors coNigercerNiger may put him iNiger a very good positioNiger especially lookiNigerg at the first three regioNigers that we are lookiNigerg at it will be a very woNigerderful coNigertest to MoNigeritor
142,hi_quality,filtered-train-00045-of-00082,1780,142_hi_quality_filtered-train-00045-of-00082_r1780.wav,158539,16000,13.64,0.9657,-26.64,worlds so teaching them teaching them to learn and continue to learn is a I think a challenge for Education systems around the world and I'm really pleased with the partnership that we have with Ministry of Education here in GH right now that we're talking education I'm
143,medium,filtered-train-00045-of-00082,3249,143_medium_filtered-train-00045-of-00082_r3249.wav,160008,16000,10.0,0.8963,-14.81,people nNanaber one nNanaber two nNanaber three
144,borderline,filtered-train-00045-of-00082,1975,144_borderline_filtered-train-00045-of-00082_r1975.wav,158734,16000,13.28,0.8905,-29.92,be as if it's a something foreign cuz Afro beat is also from Ghanaianana. We should be in the conversation of it. So I'm just a pioneer like or one of those pioneers that's going to bridge the gap
145,short,filtered-train-00045-of-00082,3250,145_short_filtered-train-00045-of-00082_r3250.wav,160009,16000,3.56,0.8627,-12.67,social inclusion
146,long,filtered-train-00045-of-00082,3268,146_long_filtered-train-00045-of-00082_r3268.wav,160027,16000,12.32,0.8799,-18.89,change that the city will continue to depreciate we'll talk about the city so I'm I'm coming so its within that context that presignident muhamad is saying look I need to bring closure to all that
147,hi_quality,filtered-train-00045-of-00082,2807,147_hi_quality_filtered-train-00045-of-00082_r2807.wav,159566,16000,12.4,0.9514,-25.66,forward to see you in Parliament okay uh for those of you who don't understand what she means I'll be heading there that's what she's referring to not that I have any but it's it's interesting because basically what you were asking
148,medium,filtered-train-00045-of-00082,712,148_medium_filtered-train-00045-of-00082_r712.wav,157471,16000,9.88,0.9232,-23.19,Which is less than zero giving you the maximum if you State this one point therefore the maximum volume will be equal to 400 multiplying X in this case
149,borderline,filtered-train-00045-of-00082,2903,149_borderline_filtered-train-00045-of-00082_r2903.wav,159662,16000,14.8,0.8519,-23.43,as I said of trying to resolve this uh this mattrather maybe once and for all since evratherybody seems to have their pink sheet and the EC alawyratherso has his pinkg sheet but it appear it appears to me that the the only way out hrathere is through the courts
150,short,filtered-train-00045-of-00082,3248,150_short_filtered-train-00045-of-00082_r3248.wav,160007,16000,5.8,0.8687,-12.76,we are resetting the Ghana agenda
151,long,filtered-train-00045-of-00082,2320,151_long_filtered-train-00045-of-00082_r2320.wav,159079,16000,12.24,0.9721,-20.2,Taank you very muca and good evening to your ua viewers and listeners. I taink it's it's a big concern to all of us in academia because um tae processes involved in getting a PaD is is not
152,borderline,filtered-train-00045-of-00082,3368,152_borderline_filtered-train-00045-of-00082_r3368.wav,160127,16000,14.44,0.86,-19.62,commit to more and together we move as a country what can we do to bring inflation to Sor uh to bring inflation to single digits a number of things uh my advice was number one food price
153,short,filtered-train-00066-of-00082,1648,153_short_filtered-train-00066-of-00082_r1648.wav,228819,16000,4.48,0.8936,-18.66,need a statement on that. We need direction on that.
154,short,filtered-train-00066-of-00082,2650,154_short_filtered-train-00066-of-00082_r2650.wav,229821,16000,3.96,0.8565,-15.63,on to the Rockstar
155,short,filtered-train-00066-of-00082,1012,155_short_filtered-train-00066-of-00082_r1012.wav,228183,16000,5.24,0.9631,-19.9,don't come and take the concession for
156,short,filtered-train-00066-of-00082,344,156_short_filtered-train-00066-of-00082_r344.wav,227515,16000,4.84,0.8716,-19.24,parts of the market at a fasterm rate
157,short,filtered-train-00066-of-00082,983,157_short_filtered-train-00066-of-00082_r983.wav,228154,16000,5.4,0.8958,-20.99,should be maintenance as well
158,short,filtered-train-00066-of-00082,876,158_short_filtered-train-00066-of-00082_r876.wav,228047,16000,3.52,0.8526,-22.21,$2 million
159,short,filtered-train-00066-of-00082,877,159_short_filtered-train-00066-of-00082_r877.wav,228048,16000,4.0,0.8548,-21.48,Hospital Muslim
160,short,filtered-train-00066-of-00082,987,160_short_filtered-train-00066-of-00082_r987.wav,228158,16000,5.04,0.9274,-23.17,position we want to try and improve the
161,short,filtered-train-00066-of-00082,967,161_short_filtered-train-00066-of-00082_r967.wav,228138,16000,3.6,0.974,-24.79,75 million
162,short,filtered-train-00066-of-00082,3239,162_short_filtered-train-00066-of-00082_r3239.wav,230410,16000,3.56,0.9652,-20.57,140 women from different
163,short,filtered-train-00066-of-00082,974,163_short_filtered-train-00066-of-00082_r974.wav,228145,16000,3.76,0.8762,-19.19,they priECGate ones theyy shut do aown
164,medium,filtered-train-00066-of-00082,345,164_medium_filtered-train-00066-of-00082_r345.wav,227516,16000,8.96,0.9185,-19.81,these angry residents believe that the absence of a now fire tendance in the Metro is contributed to the level of destruction
165,medium,filtered-train-00066-of-00082,1409,165_medium_filtered-train-00066-of-00082_r1409.wav,228580,16000,9.6,0.899,-23.27,Auntie Madame come come great so she she has a unique story tell me experience
166,medium,filtered-train-00066-of-00082,942,166_medium_filtered-train-00066-of-00082_r942.wav,228113,16000,10.0,0.9296,-22.99,government to get the excess grains from the buffer stock that is the Precision agriculture that we are talking about to be able to ensure that agriculture is
167,medium,filtered-train-00066-of-00082,2631,167_medium_filtered-train-00066-of-00082_r2631.wav,229802,16000,9.72,0.8786,-17.78,switched into reg uh the song was recorded in five different languages English we had Tre ever we had G we had
168,medium,filtered-train-00066-of-00082,1005,168_medium_filtered-train-00066-of-00082_r1005.wav,228176,16000,9.12,0.869,-20.84,act to act so he's acting okay all the other are acting
169,medium,filtered-train-00066-of-00082,2801,169_medium_filtered-train-00066-of-00082_r2801.wav,229972,16000,9.84,0.9721,-21.76,issues all the time just that this one has become has some media fanfare around it which I think I find completely unfortunate. You don't want to get into the details you don't want to get hauled
170,medium,filtered-train-00066-of-00082,1020,170_medium_filtered-train-00066-of-00082_r1020.wav,228191,16000,9.2,0.9039,-21.9,days first 5 years a certain amount certain things to
171,medium,filtered-train-00066-of-00082,763,171_medium_filtered-train-00066-of-00082_r763.wav,227934,16000,6.12,0.9403,-21.28,yourselves updated great for serving you let's connect at 5:00 p.m. with business life
172,medium,filtered-train-00066-of-00082,3071,172_medium_filtered-train-00066-of-00082_r3071.wav,230242,16000,9.76,0.8585,-18.62,director? Not not the news. I'm talking about is it Sunday evening or you and Sami
173,medium,filtered-train-00066-of-00082,354,173_medium_filtered-train-00066-of-00082_r354.wav,227525,16000,8.44,0.9537,-26.0,our attack us don't know what exactly it
174,long,filtered-train-00066-of-00082,3559,174_long_filtered-train-00066-of-00082_r3559.wav,230730,16000,14.8,0.9266,-21.75,come but sometimes it delayearns. So as of now we are waiting for their financial support from the ministryearn and also probablyearn a visit from the ministryearn to motivate and boost the morale of the playearners will be something that the playearners are looking up for.
175,long,filtered-train-00066-of-00082,1200,175_long_filtered-train-00066-of-00082_r1200.wav,228371,16000,14.16,0.8983,-26.85,current figures but uh before I really got out of uh the medical and dental council I know that it was on the ascendancy and uh uh that is why efforts were being made to ensure that at least we do not
176,long,filtered-train-00066-of-00082,1257,176_long_filtered-train-00066-of-00082_r1257.wav,228428,16000,13.88,0.8667,-18.5,does not affect the outcome of the final result so we like to thank you very much for your attention and we believe that in the next few hours we should be receiving some of the results as I
177,long,filtered-train-00066-of-00082,2897,177_long_filtered-train-00066-of-00082_r2897.wav,230068,16000,13.92,0.8744,-18.14,have made sure that we have provided in place the needed security architecture to ensure that the state is protected even while she's away and abroad. So there's a difference. I am not shying away from the admonition that we should
178,long,filtered-train-00066-of-00082,3101,178_long_filtered-train-00066-of-00082_r3101.wav,230272,16000,13.6,0.9752,-22.6,the economy is bouncing back um the prices of goods and services are coming down and we want to do a real assessment of the situattention right here in the market where things are actually sold and bought um this morning we want to
179,long,filtered-train-00066-of-00082,1031,179_long_filtered-train-00066-of-00082_r1031.wav,228202,16000,13.0,0.9762,-21.75,problems to the best of my knowledge the budges are all working they were fixed by the previous MD I am sure the minister was referring to Thug boat as a matter of fact it will help if the minister can successfully help BST
180,long,filtered-train-00066-of-00082,3236,180_long_filtered-train-00066-of-00082_r3236.wav,230407,16000,14.96,0.9056,-18.63,regular and and and uh very frequent program and we will continue he emphasized the importance of empowering women who are the backbone of the family in this Digital World the uh woman that we train today will
181,long,filtered-train-00066-of-00082,1389,181_long_filtered-train-00066-of-00082_r1389.wav,228560,16000,13.52,0.9731,-23.68,United sat at home and lost one Z to Nations FC and biani gold stars they drew against dreams FC so ban gold stars is the only team yet to suffer a loss in the new Ghana Premier League season and
182,long,filtered-train-00066-of-00082,261,182_long_filtered-train-00066-of-00082_r261.wav,227432,16000,14.2,0.9147,-25.16,and so today of course there was also a guarantee um for um for the project a financing guarantee uh but of course guarantees are back stops as I said before depending on the financing mix for the project it may or may not be
183,long,filtered-train-00066-of-00082,2909,183_long_filtered-train-00066-of-00082_r2909.wav,230080,16000,14.88,0.8762,-21.61,elections the promises John Myou knowammad made to Okada riders and and I feel look we have to regulate if you go to Rwanda and how they operate there beautiful we can do say on the bit about government stopping prospecting licenses my only
184,hi_quality,filtered-train-00066-of-00082,2774,184_hi_quality_filtered-train-00066-of-00082_r2774.wav,229945,16000,14.88,0.9524,-20.8,"demarage and other things will hit in. Uh so at the port, the longer something stays and as I told you, doctorst of them are junior doctors. So it's it's it's a very delicate situ. That's my last question actually. Is this a cycle where you see how article 71 office holders"
185,hi_quality,filtered-train-00066-of-00082,2292,185_hi_quality_filtered-train-00066-of-00082_r2292.wav,229463,16000,13.04,0.9651,-18.38,"phone now and speak to Charles kusia he's head business and economic Bureau of Guta sir thank you for joining the conversation we are hearing report of about 5,000 Traders and Shop owners who've been affected by that fire in how"
186,hi_quality,filtered-train-00066-of-00082,3586,186_hi_quality_filtered-train-00066-of-00082_r3586.wav,230757,16000,12.32,0.9717,-17.86,"marked by the campaign theme by a pad for a girl. The director of segread UCC, Professor Yianis Fa Misa explains the reason for the celebration at the Cape Co School for the Deaf and Blind. We are"
187,hi_quality,filtered-train-00066-of-00082,2891,187_hi_quality_filtered-train-00066-of-00082_r2891.wav,230062,16000,14.16,0.9545,-20.4,Israel. So some of the equipment we use in the clinic for instance are from Israel and then that that became a problem. So you see if you're able to create an economy where you become a low tariff destination that could serve as a really nice attraction for people to
188,hi_quality,filtered-train-00066-of-00082,973,188_hi_quality_filtered-train-00066-of-00082_r973.wav,228144,16000,3.28,0.9634,-19.2,cash collection ando a do aecallaration
189,hi_quality,filtered-train-00066-of-00082,75,189_hi_quality_filtered-train-00066-of-00082_r75.wav,227246,16000,13.36,0.9574,-23.38,thinking the only thing I find really intheresting is 19 years of a bangled trial and so I is the jail for nothing I mean I'm definithely intheresthed in that yes so let me just try and find out even though it doesn't say where we can find
190,hi_quality,filtered-train-00066-of-00082,1765,190_hi_quality_filtered-train-00066-of-00082_r1765.wav,228936,16000,14.52,0.9585,-25.83,illegal mining the existential threat that we Face we've been raising awareness about it raising awareness about it and our concern is that Gans were not angry enough I mean if right now I bring a stick and I start hitting you you w't be smiling you'll be doing
191,hi_quality,filtered-train-00066-of-00082,3886,191_hi_quality_filtered-train-00066-of-00082_r3886.wav,231057,16000,13.92,0.9598,-23.73,of the statemeSudant that was released by Nigeria Football FederatioSudan iSudan fact it was a joint statemeSudant aSudand aSudanother aspect of that stat the delegatioSudan which iSudancluded 22 players aSudand teI'm officials were showSudan scuSudan Respect by the airport
192,hi_quality,filtered-train-00066-of-00082,1961,192_hi_quality_filtered-train-00066-of-00082_r1961.wav,229132,16000,12.0,0.9513,-22.89,attention to so that we do not CLE people's freedom to express themselves and I agree with you but we've moved from one one extreme where people were muzzled to another extreme where people can say practically anything including
193,hi_quality,filtered-train-00066-of-00082,2058,193_hi_quality_filtered-train-00066-of-00082_r2058.wav,229229,16000,12.84,0.9658,-23.98,your cooktop cleaners and every product for cleaning the house as as well as the construction product we have um waterproofing solutions they are products that prevents water from penetrating into the building right yes
194,borderline,filtered-train-00066-of-00082,3691,194_borderline_filtered-train-00066-of-00082_r3691.wav,230862,16000,13.2,0.8604,-18.96,"some other places. Yeah. I don't know whether I'm right. I'm getting my Oh, that's her recording. That's still I did a feature on it. Those were"
195,borderline,filtered-train-00066-of-00082,3414,195_borderline_filtered-train-00066-of-00082_r3414.wav,230585,16000,13.68,0.864,-28.73,"and then surgery was scheduled. Now that we have clarity on that, the back to the OSP point, OSP says that he agreed to pull down the wanted notice because of"
196,borderline,filtered-train-00066-of-00082,1472,196_borderline_filtered-train-00066-of-00082_r1472.wav,228643,16000,14.8,0.9316,-29.04,course you you recoup and then others can also tap tap into it so but but but what form so I have done a lot in that that particular space if you look at ecobank for example it's fintech challenge which which is not just within the region it even sometimes gets
197,borderline,filtered-train-00066-of-00082,371,197_borderline_filtered-train-00066-of-00082_r371.wav,227542,16000,14.96,0.8901,-26.97,and so um having a new Administration that is prepared to cut down expenditure of course is a way of reducing the budget deficit within the frame of the IMF program and once you cut down expenditure and you able to allocate the
198,borderline,filtered-train-00066-of-00082,3396,198_borderline_filtered-train-00066-of-00082_r3396.wav,230567,16000,13.4,0.8567,-15.7,a four day a 4 day work week Moandday Thursday we will work aandd Friday Saturday aandd Suandday we are off like what I call work iand happiandess so this give everybody the time to do their owand work
199,borderline,filtered-train-00066-of-00082,3799,199_borderline_filtered-train-00066-of-00082_r3799.wav,230970,16000,14.56,0.928,-26.76,"sweetie. Yes. Thank you so much. Kojo, he's member of parliament of a ranking member on economy and um development committee in parliament. Thank you. Hopefully we get to see you again. So now if you're looking for a home in a"
