listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,corrected_text,auto_flags,reason,notes
161,136_long_filtered-train-00045-of-00082_r464.wav,long,filtered-train-00045-of-00082,13.2,0.8589,-20.08,understanding that we are limited in terms of resources but we are trying to change the structure upon which we operate my Mantra has always been that sport is Big Business which is what I've taken through World rugby and that we,,,
162,063_long_filtered-train-00002-of-00082_r2438.wav,long,filtered-train-00002-of-00082,13.36,0.8641,-17.35,"Gabriel Morte, former secretary of the Adara Cooperative Salt Winners Union, affirmed the perception about two centuries back when our great grandfathers were money here and uh we",,,
164,134_borderline_filtered-train-00045-of-00082_r231.wav,borderline,filtered-train-00045-of-00082,14.0,0.8567,-19.68,theere. I suspect maybe it's because of investigation. it stheould theave been theere or ttheere. And so one of sucthe sources u told me about ttheis raid and and everyttheing I put out appears to be tthee,,,
165,078_hi_quality_filtered-train-00003-of-00082_r3015.wav,hi_quality,filtered-train-00003-of-00082,13.92,0.9681,-20.32,"association, Henry Ben Smith, also rejected calls for a state of emergency. But if your son is not doing well and you are not teaching the your son what the right way to go and you say, ""I'll kill you."" Whoever has killed his son because the son has gone to do something",,,
166,131_long_filtered-train-00045-of-00082_r1331.wav,long,filtered-train-00045-of-00082,12.88,0.9472,-17.08,transparency in licensing and open up the space for local participation. They're also calling for subsidies on essential tools and tools and equipment which they say are increasingly out of,,,
167,174_long_filtered-train-00066-of-00082_r3559.wav,long,filtered-train-00066-of-00082,14.8,0.9266,-21.75,come but sometimes it delayearns. So as of now we are waiting for their financial support from the ministryearn and also probablyearn a visit from the ministryearn to motivate and boost the morale of the playearners will be something that the playearners are looking up for.,,,
168,087_medium_filtered-train-00003-of-00082_r3065.wav,medium,filtered-train-00003-of-00082,9.8,0.904,-19.38,I wish the sanitation day was held daily. We are always happy to see how neat abroad is. We can also do same here.,,,
170,048_hi_quality_filtered-train-00001-of-00082_r1356.wav,hi_quality,filtered-train-00001-of-00082,12.44,0.9854,-18.18,2024 there will be a seminar there will be a walk on 12th October 20124 on 20th October 2024 there will be a handing over of the library project there will be a musical concert on the 26th October,,,
171,190_hi_quality_filtered-train-00066-of-00082_r1765.wav,hi_quality,filtered-train-00066-of-00082,14.52,0.9585,-25.83,illegal mining the existential threat that we Face we've been raising awareness about it raising awareness about it and our concern is that Gans were not angry enough I mean if right now I bring a stick and I start hitting you you w't be smiling you'll be doing,,,
172,090_long_filtered-train-00003-of-00082_r1752.wav,long,filtered-train-00003-of-00082,14.76,0.8551,-20.53,to cry it will not be the same way as you have sparecispared to cry women know women's problem and spare all women's Bank we know our problems we know our strength we know our weaknesses we know how far we hold our hands and go,,,
176,045_borderline_filtered-train-00001-of-00082_r922.wav,borderline,filtered-train-00001-of-00082,13.84,0.8537,-19.41,"Ara issues a final warning to pedestrian traders operating on walkways and busy streets, giving them until Tuesday, May 20 to seize their activities or phase removal.",,,
177,166_medium_filtered-train-00066-of-00082_r942.wav,medium,filtered-train-00066-of-00082,10.0,0.9296,-22.99,government to get the excess grains from the buffer stock that is the Precision agriculture that we are talking about to be able to ensure that agriculture is,,,
178,183_long_filtered-train-00066-of-00082_r2909.wav,long,filtered-train-00066-of-00082,14.88,0.8762,-21.61,elections the promises John Myou knowammad made to Okada riders and and I feel look we have to regulate if you go to Rwanda and how they operate there beautiful we can do say on the bit about government stopping prospecting licenses my only,,,
179,002_long_filtered-train-00000-of-00082_r1687.wav,long,filtered-train-00000-of-00082,14.88,0.8821,-29.45,"people do that, especially when they at that stage of their life. And so I wonder is it is it because you had parents who would push you to the limit or you had your own ideas that you were willing regardless of the risks to pursue?",,,
186,180_long_filtered-train-00066-of-00082_r3236.wav,long,filtered-train-00066-of-00082,14.96,0.9056,-18.63,regular and and and uh very frequent program and we will continue he emphasized the importance of empowering women who are the backbone of the family in this Digital World the uh woman that we train today will,,,
188,185_hi_quality_filtered-train-00066-of-00082_r2292.wav,hi_quality,filtered-train-00066-of-00082,13.04,0.9651,-18.38,"phone now and speak to Charles kusia he's head business and economic Bureau of Guta sir thank you for joining the conversation we are hearing report of about 5,000 Traders and Shop owners who've been affected by that fire in how",,,
189,111_hi_quality_filtered-train-00024-of-00082_r1809.wav,hi_quality,filtered-train-00024-of-00082,14.8,0.9809,-25.51,so it is also doing um a lot a lot of Wonders for African creators we've seen a lot of musicians a lot of um actors and other content creators within the creative space come out from that I mean you've seen um Nigerians ghanians and some from some from other African,,,
191,122_long_filtered-train-00024-of-00082_r392.wav,long,filtered-train-00024-of-00082,13.24,0.881,-19.59,you to initiate one major um um Factory or something the smaller compliment initiatives people would pick it up and run with it you know that kind of thing,,,
192,186_hi_quality_filtered-train-00066-of-00082_r3586.wav,hi_quality,filtered-train-00066-of-00082,12.32,0.9717,-17.86,"marked by the campaign theme by a pad for a girl. The director of segread UCC, Professor Yianis Fa Misa explains the reason for the celebration at the Cape Co School for the Deaf and Blind. We are",,,
193,199_borderline_filtered-train-00066-of-00082_r3799.wav,borderline,filtered-train-00066-of-00082,14.56,0.928,-26.76,"sweetie. Yes. Thank you so much. Kojo, he's member of parliament of a ranking member on economy and um development committee in parliament. Thank you. Hopefully we get to see you again. So now if you're looking for a home in a",,,
195,091_borderline_filtered-train-00003-of-00082_r2716.wav,borderline,filtered-train-00003-of-00082,13.84,0.8607,-20.59,to summon PRC PURC to come to the committee and come and explain to us we can't accept this that all of a sudden you just say you are increasing electricity tariffs to 2.45%.,,,
196,106_hi_quality_filtered-train-00024-of-00082_r1557.wav,hi_quality,filtered-train-00024-of-00082,13.92,0.9625,-18.36,this I think it's the consistency and the enforcement and the compliance that really we sustain that year the result so I'm I'm happy to hear this but let's wait and see if we can and even bring this further down I think that's where,,,
198,022_long_filtered-train-00000-of-00082_r1975.wav,long,filtered-train-00000-of-00082,14.08,0.8988,-16.79,um she has not been cleared and that they believe that a a much more broader stroke um in terms of you know invest in investigations and digging into the issues may unravel other issues that may,,,
199,137_hi_quality_filtered-train-00045-of-00082_r1118.wav,hi_quality,filtered-train-00045-of-00082,14.96,0.9574,-20.15,about us it is about generations to come and maybe consequences they will have to face that they didn't create that we created and be to them you want to give good things to your sectorrogeny I I wish like you that now this,,,
