listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,auto_flags,corrected_text,verdict,reason,notes
122,141_long_filtered-train-00045-of-00082_r445.wav,long,filtered-train-00045-of-00082,12.68,0.9311,-19.36,,aNigerd for me I thiNigerk that B's backgrouNigerd possibly B if you hold all other factors coNigercerNiger may put him iNiger a very good positioNiger especially lookiNigerg at the first three regioNigers that we are lookiNigerg at it will be a very woNigerderful coNigertest to MoNigeritor,,,
123,139_borderline_filtered-train-00045-of-00082_r3194.wav,borderline,filtered-train-00045-of-00082,13.28,0.854,-21.82,,"Kotoka International Airport on 25th March. The aircraft was once again inspected by officials of aviation security, officials of national security, officials of the national intelligence bureau and NAKOC who made",,,
124,083_hi_quality_filtered-train-00003-of-00082_r1326.wav,hi_quality,filtered-train-00003-of-00082,13.36,0.9807,-18.39,,Muslim and anti- betting tax but you look at it from a structural perspective you know my view about betting tax different Muslim thasen shasould be supporting thase tax no to discourage it but thasat's not a substantive matter so,,,
125,007_long_filtered-train-00000-of-00082_r277.wav,long,filtered-train-00000-of-00082,14.8,0.9157,-17.37,,president going? Is she going the donkey? >> How's he going? Tell us. You see you you you claim you want to be transparent but then you are hiding more. The information the government that's what I'm saying they in this area thing the information they gather is like a bikini. Sorry for say that,,,
126,104_borderline_filtered-train-00024-of-00082_r843.wav,borderline,filtered-train-00024-of-00082,13.04,0.8501,-26.95,,sacrifice the revenues they need um to be able to operate and operate efficiently to bring in the money so that it can be shared equitably yeah and uh doc obviously makes a point about the,,,
127,184_hi_quality_filtered-train-00066-of-00082_r2774.wav,hi_quality,filtered-train-00066-of-00082,14.88,0.9524,-20.8,,"demarage and other things will hit in. Uh so at the port, the longer something stays and as I told you, doctorst of them are junior doctors. So it's it's it's a very delicate situ. That's my last question actually. Is this a cycle where you see how article 71 office holders",,,
128,059_hi_quality_filtered-train-00002-of-00082_r1857.wav,hi_quality,filtered-train-00002-of-00082,13.48,0.9616,-24.51,,from the do you think we can do without it if we focus on fixing the gaps that exist within after um the African Continental free trade area so that we can I don't know leverage because there's so many opportunities there that we can thrive on without aligning with,,,
129,079_short_filtered-train-00003-of-00082_r405.wav,short,filtered-train-00003-of-00082,5.32,0.875,-22.21,,destination and will stay wherever they find refuge.,,,
130,053_long_filtered-train-00002-of-00082_r3127.wav,long,filtered-train-00002-of-00082,14.8,0.8615,-12.94,,"resolved it 10,000 people have not been arrested. we don't have anywhere to keep 10,000 you know uh people if we were to arrest them. So has the problem been solved? So again I think it's also to put in",,,
131,026_short_filtered-train-00001-of-00082_r3669.wav,short,filtered-train-00001-of-00082,3.0,0.9089,-27.37,,Assembly.,,,
132,116_hi_quality_filtered-train-00024-of-00082_r2253.wav,hi_quality,filtered-train-00024-of-00082,13.24,0.9557,-23.06,,iSalisu very Qick he can move into the wide areaSalisu drift into the middle you can play one two you can play aSalisu a center for it and I've alwaySalisu argued that in the black SalisutarSalisu we Salisuhould be playing aSalisu a center forward rather than playing on the wide,,,
133,052_short_filtered-train-00002-of-00082_r3270.wav,short,filtered-train-00002-of-00082,4.32,0.8748,-17.58,,before professional help arrived,,,
134,188_hi_quality_filtered-train-00066-of-00082_r973.wav,hi_quality,filtered-train-00066-of-00082,3.28,0.9634,-19.2,,cash collection ando a do aecallaration,,,
135,009_medium_filtered-train-00000-of-00082_r902.wav,medium,filtered-train-00000-of-00082,8.7,0.8743,-29.22,,Amen. Foreign speech. Foreign speech. Foreign speech. [Music],,,
136,066_medium_filtered-train-00002-of-00082_r1794.wav,medium,filtered-train-00002-of-00082,9.69,0.9486,-25.25,,hardworking and respectful catch the full conversation this Sunday at 5:30 p.m. on Joy News Talk,,,
137,110_short_filtered-train-00024-of-00082_r1389.wav,short,filtered-train-00024-of-00082,4.4,0.9012,-19.45,,free years because according,,,
138,158_short_filtered-train-00066-of-00082_r876.wav,short,filtered-train-00066-of-00082,3.52,0.8526,-22.21,,$2 million,,,
139,172_medium_filtered-train-00066-of-00082_r3071.wav,medium,filtered-train-00066-of-00082,9.76,0.8585,-18.62,,director? Not not the news. I'm talking about is it Sunday evening or you and Sami,,,
140,010_hi_quality_filtered-train-00000-of-00082_r1769.wav,hi_quality,filtered-train-00000-of-00082,14.64,0.9914,-20.17,,"we say are leaky, busting, and broken can actually become more secure and better for our workplaces so we can get talent in the workplaces with the skills that are needed in those workplaces. >> Minister for Labor, Jobs, and Employment, Dr. Abdul Rashid Pelpur",,,
141,019_medium_filtered-train-00000-of-00082_r2755.wav,medium,filtered-train-00000-of-00082,9.4,0.8861,-26.75,,loyalty a lot for me is the most important thing and these people around were the people who really madesignate me become who I am,,,
142,198_borderline_filtered-train-00066-of-00082_r3396.wav,borderline,filtered-train-00066-of-00082,13.4,0.8567,-15.7,,a four day a 4 day work week Moandday Thursday we will work aandd Friday Saturday aandd Suandday we are off like what I call work iand happiandess so this give everybody the time to do their owand work,,,
143,004_medium_filtered-train-00000-of-00082_r462.wav,medium,filtered-train-00000-of-00082,7.36,0.9713,-24.94,,"broad. Yeah. So, thank you guys for uh joining the conversation. And it's a very good one.",,,
144,027_medium_filtered-train-00001-of-00082_r3842.wav,medium,filtered-train-00001-of-00082,9.24,0.884,-27.65,,production of the soap she's able to send the daughter to tertiary and she have successfully completed.,,,
145,058_long_filtered-train-00002-of-00082_r597.wav,long,filtered-train-00002-of-00082,13.68,0.9543,-20.01,,enough support. So I want to give a shout out to the minister and her ministry. Um what they're doing is launching a national heritage photo competition. Yeah. And it's open to all the 16 regions in the country to,,,
146,108_medium_filtered-train-00024-of-00082_r1981.wav,medium,filtered-train-00024-of-00082,6.68,0.9794,-25.05,,out to act if tuhey know wituhin tuheir uheart tuhat tuhey are not involved in tuhe galamsey,,,
147,189_hi_quality_filtered-train-00066-of-00082_r75.wav,hi_quality,filtered-train-00066-of-00082,13.36,0.9574,-23.38,,thinking the only thing I find really intheresting is 19 years of a bangled trial and so I is the jail for nothing I mean I'm definithely intheresthed in that yes so let me just try and find out even though it doesn't say where we can find,,,
148,008_short_filtered-train-00000-of-00082_r898.wav,short,filtered-train-00000-of-00082,4.36,0.9561,-15.9,,speech. for,,,
149,124_borderline_filtered-train-00024-of-00082_r1181.wav,borderline,filtered-train-00024-of-00082,12.88,0.8522,-19.97,,to be very careful how I position myself as an expert in that area it humbles you and that is why me I mean honestly I I really don't get it that recently,,,
150,175_long_filtered-train-00066-of-00082_r1200.wav,long,filtered-train-00066-of-00082,14.16,0.8983,-26.85,,current figures but uh before I really got out of uh the medical and dental council I know that it was on the ascendancy and uh uh that is why efforts were being made to ensure that at least we do not,,,
151,157_short_filtered-train-00066-of-00082_r983.wav,short,filtered-train-00066-of-00082,5.4,0.8958,-20.99,,should be maintenance as well,,,
152,084_short_filtered-train-00003-of-00082_r862.wav,short,filtered-train-00003-of-00082,5.92,0.8722,-15.4,,you would do government has is not even fully,,,
153,080_long_filtered-train-00003-of-00082_r2150.wav,long,filtered-train-00003-of-00082,13.84,0.9693,-20.14,,boss help us we get a b see d we would give some amnesty to you. So I just want us to seeontextualize these things and if they get the amnesty I retrain. You're not seeontextualizing. We are redefining what the president said. If he says that he will use the small,,,
154,169_medium_filtered-train-00066-of-00082_r2801.wav,medium,filtered-train-00066-of-00082,9.84,0.9721,-21.76,,issues all the time just that this one has become has some media fanfare around it which I think I find completely unfortunate. You don't want to get into the details you don't want to get hauled,,,
155,069_hi_quality_filtered-train-00002-of-00082_r3011.wav,hi_quality,filtered-train-00002-of-00082,13.84,0.9598,-18.63,,on huhan rights and administrative Justice and then fundamental huhan rights so these were the priority list that uh we looked at now considering of course so we are going to do the selected recommendattentions uh as I noted we causen't talk about everything within,,,
156,147_hi_quality_filtered-train-00045-of-00082_r2807.wav,hi_quality,filtered-train-00045-of-00082,12.4,0.9514,-25.66,,forward to see you in Parliament okay uh for those of you who don't understand what she means I'll be heading there that's what she's referring to not that I have any but it's it's interesting because basically what you were asking,,,
157,092_medium_filtered-train-00003-of-00082_r2077.wav,medium,filtered-train-00003-of-00082,6.2,0.9093,-18.47,,compound communities. Communities,,,
158,197_borderline_filtered-train-00066-of-00082_r371.wav,borderline,filtered-train-00066-of-00082,14.96,0.8901,-26.97,,and so um having a new Administration that is prepared to cut down expenditure of course is a way of reducing the budget deficit within the frame of the IMF program and once you cut down expenditure and you able to allocate the,,,
159,118_medium_filtered-train-00024-of-00082_r1693.wav,medium,filtered-train-00024-of-00082,7.32,0.947,-17.32,,packi are increasing women are buying more than the men this year,,,
160,179_long_filtered-train-00066-of-00082_r1031.wav,long,filtered-train-00066-of-00082,13.0,0.9762,-21.75,,problems to the best of my knowledge the budges are all working they were fixed by the previous MD I am sure the minister was referring to Thug boat as a matter of fact it will help if the minister can successfully help BST,,,
161,136_long_filtered-train-00045-of-00082_r464.wav,long,filtered-train-00045-of-00082,13.2,0.8589,-20.08,,understanding that we are limited in terms of resources but we are trying to change the structure upon which we operate my Mantra has always been that sport is Big Business which is what I've taken through World rugby and that we,,,
162,063_long_filtered-train-00002-of-00082_r2438.wav,long,filtered-train-00002-of-00082,13.36,0.8641,-17.35,,"Gabriel Morte, former secretary of the Adara Cooperative Salt Winners Union, affirmed the perception about two centuries back when our great grandfathers were money here and uh we",,,
163,089_short_filtered-train-00003-of-00082_r758.wav,short,filtered-train-00003-of-00082,4.16,0.8555,-16.53,,the to mean,,,
164,134_borderline_filtered-train-00045-of-00082_r231.wav,borderline,filtered-train-00045-of-00082,14.0,0.8567,-19.68,,theere. I suspect maybe it's because of investigation. it stheould theave been theere or ttheere. And so one of sucthe sources u told me about ttheis raid and and everyttheing I put out appears to be tthee,,,
165,078_hi_quality_filtered-train-00003-of-00082_r3015.wav,hi_quality,filtered-train-00003-of-00082,13.92,0.9681,-20.32,,"association, Henry Ben Smith, also rejected calls for a state of emergency. But if your son is not doing well and you are not teaching the your son what the right way to go and you say, ""I'll kill you."" Whoever has killed his son because the son has gone to do something",,,
166,131_long_filtered-train-00045-of-00082_r1331.wav,long,filtered-train-00045-of-00082,12.88,0.9472,-17.08,,transparency in licensing and open up the space for local participation. They're also calling for subsidies on essential tools and tools and equipment which they say are increasingly out of,,,
167,174_long_filtered-train-00066-of-00082_r3559.wav,long,filtered-train-00066-of-00082,14.8,0.9266,-21.75,,come but sometimes it delayearns. So as of now we are waiting for their financial support from the ministryearn and also probablyearn a visit from the ministryearn to motivate and boost the morale of the playearners will be something that the playearners are looking up for.,,,
168,087_medium_filtered-train-00003-of-00082_r3065.wav,medium,filtered-train-00003-of-00082,9.8,0.904,-19.38,,I wish the sanitation day was held daily. We are always happy to see how neat abroad is. We can also do same here.,,,
169,113_medium_filtered-train-00024-of-00082_r2795.wav,medium,filtered-train-00024-of-00082,8.04,0.8505,-20.83,,"were surprised whaten they were sitting on the ground there. Honorable whaten we went there at seven, they had disappeared.",,,
170,048_hi_quality_filtered-train-00001-of-00082_r1356.wav,hi_quality,filtered-train-00001-of-00082,12.44,0.9854,-18.18,,2024 there will be a seminar there will be a walk on 12th October 20124 on 20th October 2024 there will be a handing over of the library project there will be a musical concert on the 26th October,,,
171,190_hi_quality_filtered-train-00066-of-00082_r1765.wav,hi_quality,filtered-train-00066-of-00082,14.52,0.9585,-25.83,,illegal mining the existential threat that we Face we've been raising awareness about it raising awareness about it and our concern is that Gans were not angry enough I mean if right now I bring a stick and I start hitting you you w't be smiling you'll be doing,,,
172,090_long_filtered-train-00003-of-00082_r1752.wav,long,filtered-train-00003-of-00082,14.76,0.8551,-20.53,,to cry it will not be the same way as you have sparecispared to cry women know women's problem and spare all women's Bank we know our problems we know our strength we know our weaknesses we know how far we hold our hands and go,,,
173,096_borderline_filtered-train-00003-of-00082_r950.wav,borderline,filtered-train-00003-of-00082,4.6,0.8585,-20.72,,[Music] SM,,,
174,171_medium_filtered-train-00066-of-00082_r763.wav,medium,filtered-train-00066-of-00082,6.12,0.9403,-21.28,,yourselves updated great for serving you let's connect at 5:00 p.m. with business life,,,
175,056_medium_filtered-train-00002-of-00082_r2093.wav,medium,filtered-train-00002-of-00082,7.64,0.8744,-13.17,,buyers now contract two banks. Yes. As collater,,,
176,045_borderline_filtered-train-00001-of-00082_r922.wav,borderline,filtered-train-00001-of-00082,13.84,0.8537,-19.41,,"Ara issues a final warning to pedestrian traders operating on walkways and busy streets, giving them until Tuesday, May 20 to seize their activities or phase removal.",,,
177,166_medium_filtered-train-00066-of-00082_r942.wav,medium,filtered-train-00066-of-00082,10.0,0.9296,-22.99,,government to get the excess grains from the buffer stock that is the Precision agriculture that we are talking about to be able to ensure that agriculture is,,,
178,183_long_filtered-train-00066-of-00082_r2909.wav,long,filtered-train-00066-of-00082,14.88,0.8762,-21.61,,elections the promises John Myou knowammad made to Okada riders and and I feel look we have to regulate if you go to Rwanda and how they operate there beautiful we can do say on the bit about government stopping prospecting licenses my only,,,
179,002_long_filtered-train-00000-of-00082_r1687.wav,long,filtered-train-00000-of-00082,14.88,0.8821,-29.45,,"people do that, especially when they at that stage of their life. And so I wonder is it is it because you had parents who would push you to the limit or you had your own ideas that you were willing regardless of the risks to pursue?",,,
180,082_medium_filtered-train-00003-of-00082_r873.wav,medium,filtered-train-00003-of-00082,6.28,0.8648,-16.1,,us they have and what what has happened now,,,
181,032_medium_filtered-train-00001-of-00082_r2624.wav,medium,filtered-train-00001-of-00082,7.38,0.8643,-27.05,,yes still watching the Paul when we come back we'll take you all the way to Kumasi and we'll tell you why after this quick breather,,,
182,003_short_filtered-train-00000-of-00082_r1650.wav,short,filtered-train-00000-of-00082,3.4,0.8619,-25.1,,Is that you?,,,
183,036_short_filtered-train-00001-of-00082_r905.wav,short,filtered-train-00001-of-00082,3.56,0.8853,-13.69,,yeah in the in the days,,,
184,156_short_filtered-train-00066-of-00082_r344.wav,short,filtered-train-00066-of-00082,4.84,0.8716,-19.24,,parts of the market at a fasterm rate,,,
185,149_borderline_filtered-train-00045-of-00082_r2903.wav,borderline,filtered-train-00045-of-00082,14.8,0.8519,-23.43,,as I said of trying to resolve this uh this mattrather maybe once and for all since evratherybody seems to have their pink sheet and the EC alawyratherso has his pinkg sheet but it appear it appears to me that the the only way out hrathere is through the courts,,,
186,180_long_filtered-train-00066-of-00082_r3236.wav,long,filtered-train-00066-of-00082,14.96,0.9056,-18.63,,regular and and and uh very frequent program and we will continue he emphasized the importance of empowering women who are the backbone of the family in this Digital World the uh woman that we train today will,,,
187,129_borderline_filtered-train-00045-of-00082_r3090.wav,borderline,filtered-train-00045-of-00082,14.56,0.853,-23.8,,about the miknowiknowg all what they were doiknowg is a shallow miknowiknowg whereby they were usiknowg this very small small water theknow they they draw the Suknow aknowd aknowd aknowd aknowd they get some little little good uknowtil this politiaknow weknowt iknow aknowd bought,,,
188,185_hi_quality_filtered-train-00066-of-00082_r2292.wav,hi_quality,filtered-train-00066-of-00082,13.04,0.9651,-18.38,,"phone now and speak to Charles kusia he's head business and economic Bureau of Guta sir thank you for joining the conversation we are hearing report of about 5,000 Traders and Shop owners who've been affected by that fire in how",,,
189,111_hi_quality_filtered-train-00024-of-00082_r1809.wav,hi_quality,filtered-train-00024-of-00082,14.8,0.9809,-25.51,,so it is also doing um a lot a lot of Wonders for African creators we've seen a lot of musicians a lot of um actors and other content creators within the creative space come out from that I mean you've seen um Nigerians ghanians and some from some from other African,,,
190,128_medium_filtered-train-00045-of-00082_r3080.wav,medium,filtered-train-00045-of-00082,9.0,0.9838,-16.87,,farms because of the high production. The same we,,,
191,122_long_filtered-train-00024-of-00082_r392.wav,long,filtered-train-00024-of-00082,13.24,0.881,-19.59,,you to initiate one major um um Factory or something the smaller compliment initiatives people would pick it up and run with it you know that kind of thing,,,
192,186_hi_quality_filtered-train-00066-of-00082_r3586.wav,hi_quality,filtered-train-00066-of-00082,12.32,0.9717,-17.86,,"marked by the campaign theme by a pad for a girl. The director of segread UCC, Professor Yianis Fa Misa explains the reason for the celebration at the Cape Co School for the Deaf and Blind. We are",,,
193,199_borderline_filtered-train-00066-of-00082_r3799.wav,borderline,filtered-train-00066-of-00082,14.56,0.928,-26.76,,"sweetie. Yes. Thank you so much. Kojo, he's member of parliament of a ranking member on economy and um development committee in parliament. Thank you. Hopefully we get to see you again. So now if you're looking for a home in a",,,
194,031_short_filtered-train-00001-of-00082_r1892.wav,short,filtered-train-00001-of-00082,3.32,0.882,-20.29,,father guard,,,
195,091_borderline_filtered-train-00003-of-00082_r2716.wav,borderline,filtered-train-00003-of-00082,13.84,0.8607,-20.59,,to summon PRC PURC to come to the committee and come and explain to us we can't accept this that all of a sudden you just say you are increasing electricity tariffs to 2.45%.,,,
196,106_hi_quality_filtered-train-00024-of-00082_r1557.wav,hi_quality,filtered-train-00024-of-00082,13.92,0.9625,-18.36,,this I think it's the consistency and the enforcement and the compliance that really we sustain that year the result so I'm I'm happy to hear this but let's wait and see if we can and even bring this further down I think that's where,,,
197,163_short_filtered-train-00066-of-00082_r974.wav,short,filtered-train-00066-of-00082,3.76,0.8762,-19.19,,they priECGate ones theyy shut do aown,,,
198,022_long_filtered-train-00000-of-00082_r1975.wav,long,filtered-train-00000-of-00082,14.08,0.8988,-16.79,,um she has not been cleared and that they believe that a a much more broader stroke um in terms of you know invest in investigations and digging into the issues may unravel other issues that may,,,
199,137_hi_quality_filtered-train-00045-of-00082_r1118.wav,hi_quality,filtered-train-00045-of-00082,14.96,0.9574,-20.15,,about us it is about generations to come and maybe consequences they will have to face that they didn't create that we created and be to them you want to give good things to your sectorrogeny I I wish like you that now this,,,
200,154_short_filtered-train-00066-of-00082_r2650.wav,short,filtered-train-00066-of-00082,3.96,0.8565,-15.63,,on to the Rockstar,,,
